year,region,type,price
1996,Nebraska,1bedroom,55211.11
1996,Nebraska,2bedroom,63822.22
1996,Nebraska,3bedroom,87844.44
1996,Nebraska,4bedroom,136177.78
1996,Nebraska,5BedroomOrMore,108266.67
1996,Nebraska,BottomTier,53577.78
1996,Nebraska,CondoCoop,87288.89
1996,Nebraska,MiddleTier,83133.33
1996,Nebraska,House,83066.67
1996,Nebraska,TopTier,136911.11
1996,Nevada,1bedroom,NaN
1996,Nevada,2bedroom,94055.56
1996,Nevada,3bedroom,121933.33
1996,Nevada,4bedroom,156622.22
1996,Nevada,5BedroomOrMore,215666.67
1996,Nevada,BottomTier,86422.22
1996,Nevada,CondoCoop,86e3
1996,Nevada,MiddleTier,126344.44
1996,Nevada,House,135666.67
1996,Nevada,TopTier,196055.56
1996,NewHampshire,1bedroom,57488.89
1996,NewHampshire,2bedroom,79566.67
1996,NewHampshire,3bedroom,104544.44
1996,NewHampshire,4bedroom,137411.11
1996,NewHampshire,5BedroomOrMore,152222.22
1996,NewHampshire,BottomTier,65977.78
1996,NewHampshire,CondoCoop,77400
1996,NewHampshire,MiddleTier,98088.89
1996,NewHampshire,House,103800
1996,NewHampshire,TopTier,153211.11
1996,NewJersey,1bedroom,84100
1996,NewJersey,2bedroom,107066.67
1996,NewJersey,3bedroom,130388.89
1996,NewJersey,4bedroom,180688.89
1996,NewJersey,5BedroomOrMore,221522.22
1996,NewJersey,BottomTier,86755.56
1996,NewJersey,CondoCoop,91666.67
1996,NewJersey,MiddleTier,139477.78
1996,NewJersey,House,143266.67
1996,NewJersey,TopTier,227644.44
1996,NewMexico,1bedroom,NaN
1996,NewMexico,2bedroom,88111.11
1996,NewMexico,3bedroom,101466.67
1996,NewMexico,4bedroom,142766.67
1996,NewMexico,5BedroomOrMore,180088.89
1996,NewMexico,BottomTier,86877.78
1996,NewMexico,CondoCoop,NaN
1996,NewMexico,MiddleTier,117522.22
1996,NewMexico,House,117644.44
1996,NewMexico,TopTier,179988.89
1996,NewYork,1bedroom,NaN
1996,NewYork,2bedroom,69500
1996,NewYork,3bedroom,83166.67
1996,NewYork,4bedroom,NaN
1996,NewYork,5BedroomOrMore,153588.89
1996,NewYork,BottomTier,62e3
1996,NewYork,CondoCoop,NaN
1996,NewYork,MiddleTier,NaN
1996,NewYork,House,NaN
1996,NewYork,TopTier,NaN
1996,NorthCarolina,1bedroom,58377.78
1996,NorthCarolina,2bedroom,63188.89
1996,NorthCarolina,3bedroom,92355.56
1996,NorthCarolina,4bedroom,157155.56
1996,NorthCarolina,5BedroomOrMore,189711.11
1996,NorthCarolina,BottomTier,54966.67
1996,NorthCarolina,CondoCoop,87155.56
1996,NorthCarolina,MiddleTier,92622.22
1996,NorthCarolina,House,93188.89
1996,NorthCarolina,TopTier,164788.89
1996,Ohio,1bedroom,51733.33
1996,Ohio,2bedroom,65300
1996,Ohio,3bedroom,88788.89
1996,Ohio,4bedroom,142522.22
1996,Ohio,5BedroomOrMore,154866.67
1996,Ohio,BottomTier,53866.67
1996,Ohio,CondoCoop,84722.22
1996,Ohio,MiddleTier,88911.11
1996,Ohio,House,89377.78
1996,Ohio,TopTier,152277.78
1996,Oklahoma,1bedroom,31477.78
1996,Oklahoma,2bedroom,33255.56
1996,Oklahoma,3bedroom,60244.44
1996,Oklahoma,4bedroom,107077.78
1996,Oklahoma,5BedroomOrMore,127188.89
1996,Oklahoma,BottomTier,33011.11
1996,Oklahoma,CondoCoop,43088.89
1996,Oklahoma,MiddleTier,56677.78
1996,Oklahoma,House,56911.11
1996,Oklahoma,TopTier,103355.56
1996,Oregon,1bedroom,83466.67
1996,Oregon,2bedroom,96033.33
1996,Oregon,3bedroom,127177.78
1996,Oregon,4bedroom,165033.33
1996,Oregon,5BedroomOrMore,186788.89
1996,Oregon,BottomTier,84900
1996,Oregon,CondoCoop,110944.44
1996,Oregon,MiddleTier,127e3
1996,Oregon,House,127877.78
1996,Oregon,TopTier,192111.11
1996,Pennsylvania,1bedroom,59733.33
1996,Pennsylvania,2bedroom,70511.11
1996,Pennsylvania,3bedroom,85811.11
1996,Pennsylvania,4bedroom,152444.44
1996,Pennsylvania,5BedroomOrMore,145111.11
1996,Pennsylvania,BottomTier,46344.44
1996,Pennsylvania,CondoCoop,53177.78
1996,Pennsylvania,MiddleTier,83711.11
1996,Pennsylvania,House,88844.44
1996,Pennsylvania,TopTier,148355.56
1996,RhodeIsland,1bedroom,76977.78
1996,RhodeIsland,2bedroom,96033.33
1996,RhodeIsland,3bedroom,115400
1996,RhodeIsland,4bedroom,152733.33
1996,RhodeIsland,5BedroomOrMore,190244.44
1996,RhodeIsland,BottomTier,82955.56
1996,RhodeIsland,CondoCoop,89966.67
1996,RhodeIsland,MiddleTier,113577.78
1996,RhodeIsland,House,115777.78
1996,RhodeIsland,TopTier,171255.56
1996,SouthCarolina,1bedroom,61800
1996,SouthCarolina,2bedroom,64466.67
1996,SouthCarolina,3bedroom,88133.33
1996,SouthCarolina,4bedroom,141877.78
1996,SouthCarolina,5BedroomOrMore,NaN
1996,SouthCarolina,BottomTier,46155.56
1996,SouthCarolina,CondoCoop,86966.67
1996,SouthCarolina,MiddleTier,79988.89
1996,SouthCarolina,House,79122.22
1996,SouthCarolina,TopTier,147566.67
1996,SouthDakota,1bedroom,56137.5
1996,SouthDakota,2bedroom,72062.5
1996,SouthDakota,3bedroom,83300
1996,SouthDakota,4bedroom,101425
1996,SouthDakota,5BedroomOrMore,127050
1996,SouthDakota,BottomTier,60800
1996,SouthDakota,CondoCoop,88537.5
1996,SouthDakota,MiddleTier,83437.5
1996,SouthDakota,House,83375
1996,SouthDakota,TopTier,128575
1996,Tennessee,1bedroom,52966.67
1996,Tennessee,2bedroom,52488.89
1996,Tennessee,3bedroom,82333.33
1996,Tennessee,4bedroom,143333.33
1996,Tennessee,5BedroomOrMore,200244.44
1996,Tennessee,BottomTier,40922.22
1996,Tennessee,CondoCoop,87122.22
1996,Tennessee,MiddleTier,71577.78
1996,Tennessee,House,70644.44
1996,Tennessee,TopTier,134322.22
1996,Texas,1bedroom,NaN
1996,Texas,2bedroom,NaN
1996,Texas,3bedroom,71500
1996,Texas,4bedroom,122466.67
1996,Texas,5BedroomOrMore,NaN
1996,Texas,BottomTier,NaN
1996,Texas,CondoCoop,NaN
1996,Texas,MiddleTier,NaN
1996,Texas,House,NaN
1996,Texas,TopTier,134088.89
1996,Utah,1bedroom,NaN
1996,Utah,2bedroom,102277.78
1996,Utah,3bedroom,123777.78
1996,Utah,4bedroom,139055.56
1996,Utah,5BedroomOrMore,169711.11
1996,Utah,BottomTier,98444.44
1996,Utah,CondoCoop,113566.67
1996,Utah,MiddleTier,128577.78
1996,Utah,House,131866.67
1996,Utah,TopTier,189811.11
1996,Vermont,1bedroom,NaN
1996,Vermont,2bedroom,122487.5
1996,Vermont,3bedroom,132037.5
1996,Vermont,4bedroom,154887.5
1996,Vermont,5BedroomOrMore,173987.5
1996,Vermont,BottomTier,NaN
1996,Vermont,CondoCoop,NaN
1996,Vermont,MiddleTier,NaN
1996,Vermont,House,NaN
1996,Vermont,TopTier,NaN
1996,Virginia,1bedroom,77566.67
1996,Virginia,2bedroom,77488.89
1996,Virginia,3bedroom,101266.67
1996,Virginia,4bedroom,169977.78
1996,Virginia,5BedroomOrMore,227155.56
1996,Virginia,BottomTier,65922.22
1996,Virginia,CondoCoop,117888.89
1996,Virginia,MiddleTier,112666.67
1996,Virginia,House,111388.89
1996,Virginia,TopTier,203377.78
1996,Washington,1bedroom,88622.22
1996,Washington,2bedroom,107511.11
1996,Washington,3bedroom,136344.44
1996,Washington,4bedroom,172766.67
1996,Washington,5BedroomOrMore,196400
1996,Washington,BottomTier,88666.67
1996,Washington,CondoCoop,114066.67
1996,Washington,MiddleTier,135444.44
1996,Washington,House,137855.56
1996,Washington,TopTier,210777.78
1996,WestVirginia,1bedroom,NaN
1996,WestVirginia,2bedroom,NaN
1996,WestVirginia,3bedroom,51222.22
1996,WestVirginia,4bedroom,67800
1996,WestVirginia,5BedroomOrMore,73e3
1996,WestVirginia,BottomTier,NaN
1996,WestVirginia,CondoCoop,58655.56
1996,WestVirginia,MiddleTier,39866.67
1996,WestVirginia,House,39533.33
1996,WestVirginia,TopTier,74344.44
1996,Wisconsin,1bedroom,72866.67
1996,Wisconsin,2bedroom,75988.89
1996,Wisconsin,3bedroom,NaN
1996,Wisconsin,4bedroom,NaN
1996,Wisconsin,5BedroomOrMore,NaN
1996,Wisconsin,BottomTier,63177.78
1996,Wisconsin,CondoCoop,92477.78
1996,Wisconsin,MiddleTier,NaN
1996,Wisconsin,House,NaN
1996,Wisconsin,TopTier,145677.78
1997,Alabama,1bedroom,58700
1997,Alabama,2bedroom,50041.67
1997,Alabama,3bedroom,81758.33
1997,Alabama,4bedroom,152325
1997,Alabama,5BedroomOrMore,206958.33
1997,Alabama,BottomTier,43650
1997,Alabama,CondoCoop,99608.33
1997,Alabama,MiddleTier,81358.33
1997,Alabama,House,80725
1997,Alabama,TopTier,143025
1997,Alaska,1bedroom,NaN
1997,Alaska,2bedroom,NaN
1997,Alaska,3bedroom,NaN
1997,Alaska,4bedroom,NaN
1997,Alaska,5BedroomOrMore,NaN
1997,Alaska,BottomTier,NaN
1997,Alaska,CondoCoop,NaN
1997,Alaska,MiddleTier,NaN
1997,Alaska,House,NaN
1997,Alaska,TopTier,23e4
1997,Arizona,1bedroom,61683.33
1997,Arizona,2bedroom,91300
1997,Arizona,3bedroom,102216.67
1997,Arizona,4bedroom,134733.33
1997,Arizona,5BedroomOrMore,196166.67
1997,Arizona,BottomTier,70183.33
1997,Arizona,CondoCoop,82650
1997,Arizona,MiddleTier,108308.33
1997,Arizona,House,112450
1997,Arizona,TopTier,176508.33
1997,Arkansas,1bedroom,56191.67
1997,Arkansas,2bedroom,58458.33
1997,Arkansas,3bedroom,81308.33
1997,Arkansas,4bedroom,136783.33
1997,Arkansas,5BedroomOrMore,202408.33
1997,Arkansas,BottomTier,38800
1997,Arkansas,CondoCoop,78066.67
1997,Arkansas,MiddleTier,66833.33
1997,Arkansas,House,66775
1997,Arkansas,TopTier,118225
1997,California,1bedroom,93333.33
1997,California,2bedroom,125958.33
1997,California,3bedroom,153500
1997,California,4bedroom,201200
1997,California,5BedroomOrMore,268483.33
1997,California,BottomTier,96125
1997,California,CondoCoop,138541.67
1997,California,MiddleTier,161108.33
1997,California,House,164916.67
1997,California,TopTier,284825
1997,Colorado,1bedroom,79241.67
1997,Colorado,2bedroom,104900
1997,Colorado,3bedroom,135616.67
1997,Colorado,4bedroom,185133.33
1997,Colorado,5BedroomOrMore,222291.67
1997,Colorado,BottomTier,87741.67
1997,Colorado,CondoCoop,105283.33
1997,Colorado,MiddleTier,135083.33
1997,Colorado,House,140600
1997,Colorado,TopTier,221525
1997,Connecticut,1bedroom,62391.67
1997,Connecticut,2bedroom,97683.33
1997,Connecticut,3bedroom,134916.67
1997,Connecticut,4bedroom,202291.67
1997,Connecticut,5BedroomOrMore,306058.33
1997,Connecticut,BottomTier,84216.67
1997,Connecticut,CondoCoop,84550
1997,Connecticut,MiddleTier,136050
1997,Connecticut,House,145216.67
1997,Connecticut,TopTier,240200
1997,Delaware,1bedroom,81733.33
1997,Delaware,2bedroom,86366.67
1997,Delaware,3bedroom,106383.33
1997,Delaware,4bedroom,160408.33
1997,Delaware,5BedroomOrMore,183058.33
1997,Delaware,BottomTier,74725
1997,Delaware,CondoCoop,NaN
1997,Delaware,MiddleTier,110466.67
1997,Delaware,House,110400
1997,Delaware,TopTier,169141.67
1997,Florida,1bedroom,44458.33
1997,Florida,2bedroom,66975
1997,Florida,3bedroom,92233.33
1997,Florida,4bedroom,137516.67
1997,Florida,5BedroomOrMore,205841.67
1997,Florida,BottomTier,53183.33
1997,Florida,CondoCoop,72166.67
1997,Florida,MiddleTier,88908.33
1997,Florida,House,95116.67
1997,Florida,TopTier,160775
1997,Georgia,1bedroom,78016.67
1997,Georgia,2bedroom,67316.67
1997,Georgia,3bedroom,92108.33
1997,Georgia,4bedroom,155191.67
1997,Georgia,5BedroomOrMore,220800
1997,Georgia,BottomTier,60041.67
1997,Georgia,CondoCoop,93183.33
1997,Georgia,MiddleTier,96716.67
1997,Georgia,House,96966.67
1997,Georgia,TopTier,170341.67
1997,Hawaii,1bedroom,139266.67
